gpu|score|rank
Quadro M5000|8360|9
Quadro M5000M|6479|20
Quadro M6000|10581|3
Quadro M600M|1711|162
Quadro NVS 110M|46|1080
Quadro NVS 120M|47|1076
Quadro NVS 130M|60|1043
Quadro NVS 135M|57|1053
Quadro NVS 140M|94|963
Quadro NVS 150M|96|957
Quadro NVS 160M|98|952
Quadro NVS 210S|23|1168
Quadro NVS 210S / GeForce 6150LE|25|1157
Quadro NVS 280 SD|1|1309
Quadro NVS 285|34|1126
Quadro NVS 285 128MB|38|1110
Quadro NVS 290|100|949
Quadro NVS 295|102|940
Quadro NVS 320M|218|791
Quadro NVS 420|104|931
Quadro NVS 440|37|1113
Quadro NVS 450|92|970
Quadro NVS 55/280 PCI|6|1211
Quadro2 Pro|1|1308
Quadro4 380 XGL|7|1207
Quadro4 980 XGL|5|1227
Radeon 2100|57|1050
Radeon 3000|104|932
Radeon 3100|76|1004
Radeon 6600M|725|425
RADEON 7000 / RADEON VE Family|4|1246
RADEON 7500|3|1267
RADEON 7500 Family|4|1260
RADEON 9000 Family|3|1272
RADEON 9100 Family|5|1233
RADEON 9100 IGP|6|1216
RADEON 9200|3|1291
RADEON 9200 LE Family|2|1299
RADEON 9200 PRO Family|2|1303
RADEON 9200 SE|2|1297
RADEON 9250|2|1301
RADEON 9500|36|1115
RADEON 9500 PRO / 9700|45|1083
RADEON 9550|35|1119
Radeon 9550 / X1050|27|1150
RADEON 9600 Family|25|1160
RADEON 9600 PRO Family|26|1154
RADEON 9600 TX Family|18|1178
RADEON 9600 XT|35|1120
RADEON 9600SE|28|1145
RADEON 9700 PRO|53|1061
RADEON 9800 PRO|56|1055
RADEON 9800 SE|27|1148
RADEON 9800 XT|49|1072
RADEON E4690|405|666
Radeon E6760|942|302
Radeon HD 2350|80|1000
Radeon HD 2400|124|894
Radeon HD 2400 PCI|14|1187
Radeon HD 2400 Pro|122|896
Radeon HD 2400 XT|125|891
Radeon HD 2600 PRO|218|790
Radeon HD 2600 Pro AGP|141|866
Radeon HD 2600 XT|301|729
Radeon HD 2900 GT|275|746
Radeon HD 2900 PRO|647|488
Radeon HD 2900 XT|612|517
Radeon HD 3200|84|991
Radeon HD 3300|133|882
Radeon HD 3450|124|893
Radeon HD 3470|152|857
Radeon HD 3650 AGP|145|865
Radeon HD 3670|253|766
Radeon HD 3850|537|582
Radeon HD 3850 AGP|476|624
Radeon HD 3850 X2|792|375
Radeon HD 3870|733|418
Radeon HD 3870 X2|875|332
Radeon HD 4200|117|903
Radeon HD 4250|129|887
Radeon HD 4270|112|913
Radeon HD 4290|149|860
Radeon HD 4300/4500 Serisi|155|853
Radeon HD 4330|163|851
Radeon HD 4350|177|840
Radeon HD 4550|253|767
Radeon HD 4650|344|699
Radeon HD 4650 AGP|263|757
Radeon HD 4670|549|569
Radeon HD 4770|1052|263
Radeon HD 4800 Serisi|1211|232
Radeon HD 4810|703|440
Radeon HD 4830|965|296
Radeon HD 4850|1035|268
Radeon HD 4850 X2|1125|247
Radeon HD 4870|1375|202
Radeon HD 4870 X2|1241|227
Radeon HD 4890|1532|184
Radeon HD 5450|231|774
Radeon HD 5470|268|751
Radeon HD 5550|537|581
Radeon HD 5570|713|433
Radeon HD 5600/5700|977|291
Radeon HD 5670|1062|259
Radeon HD 5750|1399|199
Radeon HD 5770|1685|165
Radeon HD 5830|2026|138
Radeon HD 5850|2258|123
Radeon HD 5870|2597|111
Radeon HD 5970|2593|112
Radeon HD 6230|211|799
Radeon HD 6250|117|900
Radeon HD 6290|135|877
Radeon HD 6290M|137|876
Radeon HD 6300M|248|770
Radeon HD 6310|169|845
Radeon HD 6320|203|807
Radeon HD 6320 Graphic|216|792
Radeon HD 6320M|198|812
RADEON HD 6350|213|797
Radeon HD 6370D|313|722
Radeon HD 6370M|265|755
Radeon HD 6380G|300|732
Radeon HD 6410D|393|670
Radeon HD 6430M|192|824
Radeon HD 6450|286|739
Radeon HD 6450A|260|760
Radeon HD 6470M|316|719
Radeon HD 6480G|406|665
